rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1.0,Don’t buy this product,"DO NOT BUY THIS PRODUCT!! The first time I zipped the first pouch, the zipper broke. I tried another one, same thing,  zipper broke on the first try. HORRIBLE!!!","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B0776DSP7Y,B0776DSP7Y,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1526085167886,1,True
2.0,Disappointed,Not very accurate in tracking steps taken.  Wrist band started coming off after 3 months of use.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00N2BVOUE,B00NWXM5U0,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1432345739000,0,True
5.0,Five Stars,Works great. Easy to install.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00EVVGAFI,B01DDIAX1Q,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1432345612000,0,True
2.0,Very Disappointing,Very very slow processor. Disappointing.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00L49X8E6,B00L49X8E6,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1432345403000,0,True
5.0,Great headsets,Great headsets. Comfortable. Great sound quality.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B005HS5MKS,B09HDZ8FQY,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1432344106000,0,True
5.0,Great Case,"Great case. Fits both the iPad Air & Air 2. Comes with a removable inner lining. When removed it fits the iPad Air. Looks good. Bought it in December 2014, still in great shape.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00PQBDQPO,B00PQBDQPO,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1432344054000,0,True
5.0,Great Product,AWESOME sound!  Easy to install. The wireless subwoofer makes it easy to place any where in the room.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00CRF9V2O,B00CRF9V2O,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1432342639000,0,True
5.0,Great Product,Excellent sound. Easy to install.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00BHC7ZTE,B00BHC7ZTE,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1432342265000,0,True
4.0,Worthy Purchase!,"Arrived sooner than the original really long estimated date.  Packaged well.  Remote wall bracket included.  No ceiling or wall mounting hardware included for the screen.  Very quiet operation. Moves very slowly up/down, but no big problem as the projector is usually getting up to temperature.  High vinyl odor, but that's fading, since installed 4 days ago. Does hide-away nicely and seems unobtrusive.  Worthy purchase.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B00852JEPW,B00852JEPW,AHITBJSS7KYUBVZPX7M2WJCOIVKQ,1419885573000,0,True
2.0,This thing has a mind of its own…..,This cameras seems to focus on what “it” wants. I will try to capture and watch an area by moving the cameras visual area using the app but it will quickly return to another area. Not even the same area as was before I decided to look elsewhere. It tends to bounce anywhere it’s little heart desires causing me frustration and non use.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B07YB8HZ8T,B09ZTXZ1MQ,AERGOXGAFZ2J3ZMHXVLZQGTW36RA,1650083467057,0,True
5.0,Easy connect,A little crackly at times but not that noticeable. Just turn the volume up. Easy connect. Use everyday,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B06XJ1YZSH,B09MYGF318,AHNCL7NLOKEPI7UADY4TIXN3UTFA,1614333940793,0,True
1.0,Junk,"To me, this was a waste of money. Not useful on a plane or really anywhere. Too short, once bent, leaving no surface space so phone wants to fall off. Don’t buy it. Save your money.","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B072MBPWMV,B07VV6TT69,AFEAJQIVVIZCTKQNNHD73H7VQSPQ,1588171605329,0,True
5.0,Good purchase,Works great. Son uses it to hold Beats and Jaybirds. Traveled well and protected items.,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B01EMYUOLE,B07BRHB8C1,AFVNEEPDEIH5SPUN5BWC6NKL3WNQ,1580471673218,0,True
5.0,Happy with purchase,Works great. No complaints!,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B0714NB5TL,B07Z6BPJXQ,AFVNEEPDEIH5SPUN5BWC6NKL3WNQ,1546821300925,0,True
4.0,"Big,sturdy and easy zippers","My son likes it,holding up well considering how much weight he puts in it.So far so good!","""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B071ZYHCM6,B083YHS7SV,AFDERBL3G23J5U6HHQBAZLTREKOA,1647795494239,0,True
5.0,Five Stars,love them so much thank you,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B002MAPSC6,B0046EDOWW,AHXSBZT52TCPZUBVCBRICTHWUCBA,1424355917000,0,True
5.0,Five Stars,awesome,"""\""\\\""\\\\\\\""[]\\\\\\\""\\\""\""""",B0045DT3A6,B0045DT3A6,AHXSBZT52TCPZUBVCBRICTHWUCBA,1424355889000,0,True
